userId,recommended_movies
197.0,"[1396, 4085, 59947, 70728, 20, 145, 1432, 5027, 5628, 7007]"
198.0,"[292, 2393, 48774, 2594, 3893, 8361, 3032, 4956, 42015, 27420]"
199.0,"[778, 2001, 1912, 145, 1432, 5027, 5628, 7007, 3893, 144606]"
200.0,"[380, 2890, 552, 2405, 145, 33672, 71156, 6564, 57951, 1429]"
201.0,"[552, 1429, 1391, 5459, 4956, 27032, 42015, 164226, 6564, 55116]"
202.0,"[2524, 4719, 5064, 8361, 42015, 459, 145, 438, 798, 27618]"
203.0,"[48774, 79132, 117646, 164226, 71999, 2429, 41569, 55116, 6902, 20]"
204.0,"[6016, 57669, 116897, 4719, 31921, 20, 145, 1432, 5027, 5628]"
205.0,"[49530, 7153, 86332, 6539, 6016, 88125, 117646, 2429, 41569, 38294]"
206.0,"[4956, 4800, 55116, 459, 117646, 798, 2344, 2403, 2524, 4142]"
207.0,"[46578, 26849, 51709, 8830, 273, 329, 924, 1019, 1306, 1340]"
208.0,"[480, 3703, 1544, 780, 1127, 8361, 27618, 48774, 58025, 87232]"
209.0,"[150, 86, 1287, 1801, 2013, 2019, 2370, 2421, 2893, 2905]"
210.0,"[260, 122886, 3793, 5378, 122924, 166528, 316, 6534, 4133, 4275]"
211.0,"[79132, 6016, 91500, 3275, 519, 2985, 8361, 27618, 58025, 117529]"
212.0,"[6016, 41569, 2000, 117529, 48774, 8361, 2403, 7007, 91535, 58025]"
213.0,"[91500, 88744, 58025, 7022, 91535, 41569, 117529, 48774, 292, 117646]"
214.0,"[52, 852, 892, 4956, 42015, 496, 5666, 61071, 72142, 4]"
215.0,"[1784, 1247, 1639, 224, 539, 852, 1912, 3893, 144606, 6023]"
216.0,"[235, 500, 1243, 322, 1060, 562, 1120, 272, 1162, 615]"
217.0,"[380, 420, 6016, 861, 7007, 8361, 4719, 5027, 4270, 42015]"
218.0,"[861, 420, 91542, 5657, 6503, 6990, 8968, 26184, 80219, 31921]"
219.0,"[6016, 48774, 8361, 6503, 7004, 80219, 145, 58025, 420, 27618]"
220.0,"[48774, 1527, 6016, 4270, 91542, 91500, 5064, 8361, 145, 2403]"
221.0,"[296, 1912, 2973, 1271, 5265, 7102, 3893, 144606, 1034, 3266]"
222.0,"[57669, 2002, 20, 145, 1432, 5027, 5628, 7007, 1473, 2000]"
223.0,"[41569, 48774, 380, 6016, 58025, 1429, 4956, 55116, 117646, 8361]"
224.0,"[11, 1235, 539, 852, 1639, 1784, 281, 898, 1883, 372]"
225.0,"[2699, 3785, 2606, 2004, 12, 5909, 69720, 114670, 132153, 149011]"
226.0,"[46578, 539, 852, 224, 45672, 11, 2846, 838, 94, 42015]"
227.0,"[2959, 3275, 293, 91500, 1573, 6016, 79132, 349, 2881, 58025]"
228.0,"[71530, 44191, 49278, 1882, 5903, 3986, 51412, 292, 3032, 5046]"
229.0,"[296, 608, 20, 145, 1432, 5027, 5628, 7007, 4956, 55116]"
230.0,"[480, 780, 380, 48774, 8644, 6333, 34048, 1544, 1127, 58025]"
231.0,"[5349, 780, 6333, 849, 77561, 480, 6365, 1591, 2625, 60471]"
232.0,"[380, 4085, 2001, 80219, 7007, 2000, 5049, 71156, 85401, 6564]"
233.0,"[293, 20, 145, 1432, 5027, 5628, 7007, 459, 31921, 5657]"
234.0,"[2294, 4016, 2005, 2041, 3754, 673, 26340, 51939, 108932, 79139]"
235.0,"[587, 4956, 55116, 42015, 4719, 117646, 496, 5666, 61071, 26236]"
236.0,"[4011, 144, 4128, 1321, 66943, 27473, 7235, 21, 183, 532]"
237.0,"[79132, 2959, 349, 3275, 7445, 293, 2881, 2985, 1573, 198]"
238.0,"[293, 1573, 7076, 1589, 3256, 3275, 8798, 37733, 41997, 349]"
239.0,"[2959, 6016, 8361, 1589, 8798, 3256, 145, 7007, 91500, 1432]"
240.0,"[42015, 4956, 117646, 4818, 55116, 2005, 3440, 79139, 26236, 5657]"
241.0,"[14, 26, 31, 40, 43, 55, 57, 62, 121, 147]"
242.0,"[608, 20, 145, 1432, 5027, 5628, 7007, 78, 293, 996]"
243.0,"[1918, 552, 2002, 31367, 4719, 4956, 3868, 53022, 117630, 20]"
244.0,"[49530, 2344, 1385, 315, 55116, 798, 2403, 2524, 4142, 5064]"
245.0,"[1827, 2330, 2659, 3865, 4102, 4350, 5513, 5670, 6005, 6122]"
246.0,"[48774, 587, 117529, 8972, 5628, 91500, 41569, 5064, 89087, 117646]"
247.0,"[6016, 1287, 41569, 117646, 55116, 8361, 27618, 58025, 117529, 187031]"
248.0,"[59315, 1196, 5378, 53464, 59615, 3793, 1210, 8636, 33493, 316]"
249.0,"[4270, 145, 2403, 48774, 8361, 2617, 5064, 6016, 6564, 91542]"
250.0,"[627, 3101, 454, 3006, 496, 5666, 1094, 3257, 4699, 6927]"
251.0,"[8798, 349, 36529, 78, 293, 996, 1218, 1573, 1589, 2540]"
252.0,"[4306, 134853, 4886, 78499, 136016, 3114, 56152, 63859, 26340, 51939]"
253.0,"[562, 1042, 106, 171, 235, 450, 8464, 27899, 70687, 72]"
254.0,"[79132, 6016, 20, 7007, 349, 198, 2058, 5388, 7445, 8860]"
255.0,"[348, 104, 125, 176, 69, 441, 19, 5, 18, 65]"
256.0,"[2716, 122904, 1580, 8361, 4270, 3827, 58025, 52287, 69278, 85261]"
257.0,"[886, 861, 876, 1918, 2273, 3104, 3710, 4084, 4673, 5678]"
258.0,"[7153, 3000, 86332, 6016, 31221, 161594, 8361, 27618, 58025, 91500]"
259.0,"[1527, 3175, 33679, 2405, 3827, 4121, 5523, 8633, 59615, 69278]"
260.0,"[2289, 1912, 6724, 6003, 57669, 1034, 3266, 4242, 6705, 71211]"
261.0,"[2959, 79132, 20, 145, 519, 1432, 2985, 5027, 5628, 7007]"
262.0,"[11, 898, 1247, 58, 281, 1244, 361, 852, 909, 1235]"
263.0,"[1784, 2145, 539, 1457, 2248, 1883, 1247, 898, 1235, 11]"
264.0,"[148775, 161594, 546, 6350, 26590, 27155, 40339, 52287, 85261, 157865]"
265.0,"[924, 292, 3032, 4643, 3471, 1306, 8361, 27618, 48774, 58025]"
266.0,"[1396, 2273, 2001, 4084, 420, 6503, 20, 145, 1432, 5027]"
267.0,"[1127, 780, 2916, 6333, 1356, 3703, 5349, 8361, 27618, 48774]"
268.0,"[296, 2000, 608, 2985, 198, 79132, 6016, 349, 145, 2002]"
269.0,"[145, 608, 4719, 20, 1432, 5027, 5628, 7007, 1912, 3893]"
270.0,"[145, 4956, 117646, 55116, 42015, 31921, 4719, 6902, 4818, 59947]"
271.0,"[2455, 1653, 1253, 1921, 2672, 30894, 7254, 2985, 1876, 3758]"
272.0,"[6333, 5349, 48774, 8361, 480, 6934, 122882, 780, 6365, 2916]"
273.0,"[539, 58, 351, 542, 232, 11, 496, 5666, 4956, 1912]"
274.0,"[1918, 6503, 6548, 2617, 6564, 3104, 5628, 36850, 91542, 1432]"
275.0,"[500, 1279, 345, 1243, 1184, 194, 106, 308, 1173, 96]"
276.0,"[1527, 128944, 40339, 52287, 85261, 157865, 546, 2041, 2720, 3827]"
277.0,"[480, 1356, 1527, 1127, 164226, 27032, 3827, 4121, 5523, 8633]"
278.0,"[500, 72, 75, 82, 96, 106, 156, 171, 178, 194]"
279.0,"[2959, 79132, 6016, 293, 2985, 3275, 37733, 41997, 8798, 349]"
280.0,"[2396, 2145, 1784, 2248, 539, 838, 1457, 11, 1277, 224]"
281.0,"[1247, 539, 909, 970, 6023, 27716, 33903, 61071, 72919, 129354]"
282.0,"[608, 6016, 57669, 1912, 27674, 6003, 3893, 1396, 2002, 20]"
283.0,"[75, 1120, 72, 82, 96, 106, 156, 171, 178, 194]"
284.0,"[112, 4956, 31367, 6564, 1429, 2405, 2406, 2835, 4270, 7720]"
285.0,"[235, 562, 272, 1120, 72, 75, 82, 96, 106, 156]"
286.0,"[6016, 608, 349, 145, 4956, 20, 1432, 5027, 5628, 7007]"
287.0,"[1639, 1784, 2396, 2248, 1883, 1235, 2145, 1247, 224, 898]"
288.0,"[46578, 145, 55269, 42004, 970, 7007, 1884, 33669, 45672, 33672]"
289.0,"[235, 356, 272, 2324, 194, 665, 946, 1281, 2436, 3035]"
290.0,"[306, 154, 296, 3893, 299, 55, 62, 147, 261, 233]"
291.0,"[179819, 103042, 122886, 5463, 1681, 4133, 4275, 5638, 5700, 8782]"
292.0,"[6333, 1527, 1127, 117529, 68791, 1356, 91500, 59615, 6365, 4270]"
293.0,"[786, 2802, 3584, 4438, 8093, 168, 315, 1047, 1100, 1385]"
294.0,"[2000, 2002, 4085, 2683, 153, 112, 46578, 55269, 6764, 42015]"
295.0,"[293, 2959, 1805, 5388, 7445, 8860, 74510, 90738, 120637, 132618]"
296.0,"[6016, 49530, 36529, 459, 117646, 20, 145, 1432, 2429, 5027]"
297.0,"[111, 2268, 1729, 2391, 149, 259, 456, 507, 1344, 1351]"
298.0,"[1527, 4085, 2001, 33672, 7007, 71156, 6503, 5027, 85401, 5628]"
299.0,"[48774, 86, 1287, 1801, 2013, 2019, 2370, 2421, 2893, 2905]"
300.0,"[44555, 496, 2594, 5666, 680, 1912, 3893, 144606, 1094, 1674]"
301.0,"[587, 1912, 3893, 144606, 496, 5666, 4956, 1034, 3266, 4242]"
302.0,"[2959, 464, 6016, 459, 78, 170, 349, 798, 996, 1218]"
303.0,"[1210, 1196, 316, 780, 2916, 1127, 6365, 1375, 442, 2105]"
304.0,"[1527, 4800, 4956, 55116, 117646, 71999, 8361, 27618, 48774, 58025]"
305.0,"[2959, 79132, 3275, 293, 91535, 8361, 48774, 7007, 117529, 145]"
306.0,"[4306, 78499, 33615, 53121, 38038, 49274, 1, 27619, 86298, 87876]"
307.0,"[1799, 4085, 2001, 1912, 5049, 41716, 2002, 5666, 6003, 319]"
308.0,"[4886, 4306, 4016, 78499, 134853, 108932, 1907, 3114, 1, 2054]"
309.0,"[26, 14, 31, 40, 43, 55, 57, 62, 121, 147]"
310.0,"[1784, 1235, 898, 1639, 2396, 372, 72142, 4, 11, 52]"
311.0,"[8937, 46322, 511, 522, 1382, 1465, 1586, 1667, 2409, 2410]"
312.0,"[2455, 1320, 198, 3032, 292, 2288, 6395, 1037, 2364, 54771]"
313.0,"[2916, 1356, 3703, 6333, 1129, 780, 1544, 6365, 6934, 7569]"
314.0,"[145, 1527, 20, 4956, 117646, 55116, 164226, 6564, 27032, 31367]"
315.0,"[62, 307, 300, 326, 341, 277, 14, 26, 31, 40]"
316.0,"[296, 608, 145, 2001, 2002, 20, 1432, 5027, 5628, 7007]"
